space	fold	batch	seed	R	null_mean	null_sd	z_seg	ratio	formed
thread	fold1	0	[20260831, 2, 0]	100	48383.47	230.61979338296183	-157.33892337569307	0.2500440749702326	21
thread	fold1	1	[20260831, 2, 1]	100	48359.61	213.9980791969872	-169.44829662055452	0.25016744345126024	18
thread	fold1	2	[20260831, 2, 2]	100	48407.63	202.92799979303007	-178.92863496921493	0.2499192792541176	21
thread	fold1	3	[20260831, 2, 3]	100	48383.72	210.8446385374786	-172.0969537176543	0.25004278298568194	19
thread	fold1	4	[20260831, 2, 4]	100	48384.84	250.95883008971813	-144.59280028930402	0.2500369950587829	21
thread	fold1	5	[20260831, 2, 5]	100	48363.68	216.06674339194362	-167.84480309500617	0.25014639084536167	17
thread	fold1	6	[20260831, 2, 6]	100	48368.54	244.0376372611405	-148.62682825103536	0.25012125650267714	17
thread	fold1	7	[20260831, 2, 7]	100	48400.32	234.0220878464253	-155.12347716435656	0.24995702507752016	18
thread	fold1	8	[20260831, 2, 8]	100	48375.12	209.58068995019556	-173.09380939923827	0.25008723492572216	18
thread	fold1	9	[20260831, 2, 9]	100	48362.89	203.23758978102452	-178.43593815038395	0.2501504769462702	16
thread	fold2	0	[20260831, 3, 0]	100	28257.86	158.52104087470533	-128.63819141912953	0.2783650283496344	10
thread	fold2	1	[20260831, 3, 1]	100	28210.66	173.0595400433042	-117.55873149153877	0.27883076822732966	15
thread	fold2	2	[20260831, 3, 2]	100	28267.85	156.90203153560506	-130.02922779473573	0.27826665275215484	14
thread	fold2	3	[20260831, 3, 3]	100	28264.1	163.1598296150128	-125.01913031002033	0.2783035723762653	14
thread	fold2	4	[20260831, 3, 4]	100	28232.04	137.59970348805263	-148.00933057074738	0.2786196109101574	14
thread	fold2	5	[20260831, 3, 5]	100	28254.98	168.22651277370042	-121.19956399160107	0.2783934018003198	11
thread	fold2	6	[20260831, 3, 6]	100	28279.31	179.9864825479958	-113.41579495869375	0.2781538870644298	13
thread	fold2	7	[20260831, 3, 7]	100	28247.2	166.7958033045196	-122.19252281060082	0.27847007845025346	11
thread	fold2	8	[20260831, 3, 8]	100	28259.92	160.91418085426778	-126.73786667981605	0.2783447369985478	10
thread	fold2	9	[20260831, 3, 9]	100	28235.82	160.53637469433525	-126.88600972075382	0.2785823114044501	11
