window_k	eval_start	eval_end	rep	z	formed	obs_total
3	2020Q4	2021Q1	0	-0.26	1	481
3	2020Q4	2021Q1	1	+0.65	1	498
3	2020Q4	2021Q1	2	+0.20	1	489
3	2020Q4	2021Q1	3	+1.58	0	520
3	2020Q4	2021Q1	4	-0.79	2	468
3	2020Q4	2021Q1	5	-1.33	1	460
3	2020Q4	2021Q1	6	+1.79	1	524
3	2020Q4	2021Q1	7	+0.23	2	493
3	2020Q4	2021Q1	8	+1.82	4	526
3	2020Q4	2021Q1	9	+0.19	2	489
3	2020Q4	2021Q1	10	-0.24	0	481
3	2020Q4	2021Q1	11	+0.47	0	494
3	2020Q4	2021Q1	12	+0.61	1	496
3	2020Q4	2021Q1	13	-0.88	0	468
3	2020Q4	2021Q1	14	+0.49	0	494
3	2020Q4	2021Q1	15	+1.07	0	512
3	2020Q4	2021Q1	16	+3.25	2	558
3	2020Q4	2021Q1	17	-1.45	0	459
3	2020Q4	2021Q1	18	-0.22	0	482
3	2020Q4	2021Q1	19	+2.14	3	530
4	2021Q1	2021Q2	0	+0.98	3	1743
4	2021Q1	2021Q2	1	+0.57	5	1727
4	2021Q1	2021Q2	2	-0.83	2	1681
4	2021Q1	2021Q2	3	-1.03	3	1669
4	2021Q1	2021Q2	4	+0.73	3	1734
4	2021Q1	2021Q2	5	-1.26	4	1668
4	2021Q1	2021Q2	6	+0.47	4	1719
4	2021Q1	2021Q2	7	+0.32	3	1721
4	2021Q1	2021Q2	8	+0.18	7	1708
4	2021Q1	2021Q2	9	+2.53	2	1786
4	2021Q1	2021Q2	10	-0.03	2	1704
4	2021Q1	2021Q2	11	+0.21	4	1710
4	2021Q1	2021Q2	12	+1.42	1	1756
4	2021Q1	2021Q2	13	-0.39	1	1694
4	2021Q1	2021Q2	14	-1.71	3	1649
4	2021Q1	2021Q2	15	+0.33	4	1719
4	2021Q1	2021Q2	16	+1.38	4	1757
4	2021Q1	2021Q2	17	+0.99	2	1742
4	2021Q1	2021Q2	18	+1.15	2	1746
4	2021Q1	2021Q2	19	-0.02	1	1704
