B	window	build_start	eval_start	eval_end	stratum	lens	build_docs	eval_docs	frequent_tickers	co_pairs	eligible
4	0	2019Q1	2020Q1	2020Q2	WSB	union	44013	78060	668	98649	45
4	0	2019Q1	2020Q1	2020Q2	WSB	cashtag	11384	16102	189	10180	8
4	0	2019Q1	2020Q1	2020Q2	DD	union	28977	38412	521	43452	63
4	0	2019Q1	2020Q1	2020Q2	DD	cashtag	2661	3480	41	577	5
4	1	2019Q2	2020Q2	2020Q3	WSB	union	70164	84951	891	165964	77
4	1	2019Q2	2020Q2	2020Q3	WSB	cashtag	18323	13317	263	17134	27
4	1	2019Q2	2020Q2	2020Q3	DD	union	36914	44494	611	57679	104
4	1	2019Q2	2020Q2	2020Q3	DD	cashtag	3471	3791	62	1115	6
4	2	2019Q3	2020Q3	2020Q4	WSB	union	101474	95297	1138	255054	64
4	2	2019Q3	2020Q3	2020Q4	WSB	cashtag	22214	14173	307	22495	35
4	2	2019Q3	2020Q3	2020Q4	DD	union	52696	45029	805	96390	151
4	2	2019Q3	2020Q3	2020Q4	DD	cashtag	4797	3892	96	2429	6
4	3	2019Q4	2020Q4	2021Q1	WSB	union	132283	519818	1289	310469	124
4	3	2019Q4	2020Q4	2021Q1	WSB	cashtag	25523	76936	333	24865	63
4	3	2019Q4	2020Q4	2021Q1	DD	union	67051	88385	929	123485	145
4	3	2019Q4	2020Q4	2021Q1	DD	cashtag	5929	9468	115	3367	9
4	4	2020Q1	2021Q1	2021Q2	WSB	union	173357	587814	1450	371543	318
4	4	2020Q1	2021Q1	2021Q2	WSB	cashtag	30275	89525	370	27138	117
4	4	2020Q1	2021Q1	2021Q2	DD	union	83441	94386	1058	155823	211
4	4	2020Q1	2021Q1	2021Q2	DD	cashtag	7372	10760	138	4465	19
4	5	2020Q2	2021Q2	2021Q3	WSB	union	604769	166668	1861	475143	498
4	5	2020Q2	2021Q2	2021Q3	WSB	cashtag	90253	29831	501	32322	318
4	5	2020Q2	2021Q2	2021Q3	DD	union	132879	51413	1329	206324	345
4	5	2020Q2	2021Q2	2021Q3	DD	cashtag	13259	6069	213	7375	87
4	6	2020Q3	2021Q3	2021Q4	WSB	union	683111	85921	1900	453556	391
4	6	2020Q3	2021Q3	2021Q4	WSB	cashtag	103698	17073	549	32253	259
4	6	2020Q3	2021Q3	2021Q4	DD	union	139415	43956	1360	205045	272
4	6	2020Q3	2021Q3	2021Q4	DD	cashtag	14652	5180	223	7679	73
4	7	2020Q4	2021Q4	2022Q1	WSB	union	686486	84190	1906	429876	373
4	7	2020Q4	2021Q4	2022Q1	WSB	cashtag	106767	14021	563	33053	272
4	7	2020Q4	2021Q4	2022Q1	DD	union	139798	43672	1378	203739	281
