B	window	eval_start	eval_end	stratum	lens	build_docs	eval_docs	n_eligible	obs_total	null_mean	null_sd	z_seg	formed	binom_p	uninformative
4	0	2020Q1	2020Q2	WSB	union	44013	78060	45	227	283.1	14.975646897546696	-3.7460819144440634	1	0.36381451393612796	0
4	1	2020Q2	2020Q3	WSB	union	70164	84951	77	695	656.9	24.581090293150137	1.5499719314979743	2	0.18004983570116848	0
4	2	2020Q3	2020Q4	WSB	union	101474	95297	64	199	180.57	12.497403730375362	1.4747062988135102	2	0.13462396498317036	0
4	3	2020Q4	2021Q1	WSB	union	132283	519818	124	1125	485.33	22.346388970032717	28.625206553856184	24	9.920894169187311e-24	0
4	4	2021Q1	2021Q2	WSB	union	173357	587814	318	2891	1707.86	38.33380231597174	30.864144137015234	61	1.4607227418268253e-57	0
4	5	2021Q2	2021Q3	WSB	union	604769	166668	498	603	888.78	26.833777222001377	-10.6500101583047	6	0.38051088297483604	0
4	6	2021Q3	2021Q4	WSB	union	683111	85921	391	83	233.38	16.643184791379323	-9.035530271699704	1	0.9803500663787249	0
4	7	2021Q4	2022Q1	WSB	union	686486	84190	373	55	175.24	14.042165075229674	-8.562782117702271	0	1.0	0
4	8	2022Q1	2022Q2	WSB	union	673735	81174	397	62	176.01	19.479473812195238	-5.852827499304595	0	1.0	0
4	9	2022Q2	2022Q3	WSB	union	250858	92289	225	107	205.68	13.580780537215084	-7.266150846749168	3	0.39099469512459106	0
4	10	2022Q3	2022Q4	WSB	union	167095	88171	146	288	381.19	19.095913175336754	-4.880101786405227	1	0.7694641816815592	0
4	11	2022Q4	2023Q1	WSB	union	176479	59857	115	38	137.6	10.24792661956554	-9.71903914786448	0	1.0	0
4	12	2023Q1	2023Q2	WSB	union	169345	49118	99	85	144.73	12.856791979339171	-4.64579345267357	1	0.6302703623502551	0
4	13	2023Q2	2023Q3	WSB	union	152146	45182	94	85	164.38	10.34290094702642	-7.674829373940946	0	1.0	0
4	14	2023Q3	2023Q4	WSB	union	137289	44496	103	59	121.15	9.344918405208256	-6.650673371889646	0	1.0	0
4	15	2023Q4	2024Q1	WSB	union	105039	66411	78	324	485.33	22.400917391928395	-7.201937187542648	0	1.0	0
