B	window	eval_start	eval_end	stratum	lens	build_docs	eval_docs	n_eligible	obs_total	null_mean	null_sd	z_seg	formed	binom_p	uninformative	null_kind	R	ratio	null_min	null_max	mc_p_lo	mc_p_hi	mc_p_2s	drift_reps	inc_before	inc_after	collapsed_frac	docs_changed	toks_changed
4	0	2020Q1	2020Q2	WSB	union	44013	78060	45	227	261.2	17.083910559353793	-2.001883578187828	1	0.36381451393612796	0	stratified	100	0.8690658499234304	215.0	301.0	0.039603960396039604	0.9801980198019802	0.07920792079207921	10	283852.0	266831.0	0.05996434761777264	8071.2	282.4
4	1	2020Q2	2020Q3	WSB	union	70164	84951	77	695	647.0	23.60423690780958	2.0335332248812907	2	0.18004983570116848	0	stratified	100	1.0741885625965997	574.0	714.0	0.9702970297029703	0.039603960396039604	0.07920792079207921	10	338433.0	316434.6	0.06500075347262242	9555.4	306.0
4	2	2020Q3	2020Q4	WSB	union	101474	95297	64	199	191.1	11.884022887894485	0.6647580600040113	2	0.13462396498317036	0	stratified	100	1.0413396127681842	167.0	230.0	0.7623762376237624	0.27722772277227725	0.5544554455445545	10	333911.0	308720.3	0.07544136012290703	10568.7	277.4
4	3	2020Q4	2021Q1	WSB	union	132283	519818	124	1125	717.17	20.77934310800031	19.626703206174998	14	3.8872425916333184e-11	0	stratified	100	1.5686657277911793	652.0	774.0	1.0	0.009900990099009901	0.019801980198019802	10	1176917.0	1023886.4	0.13002667137954502	69488.7	285.1
4	4	2021Q1	2021Q2	WSB	union	173357	587814	318	2891	1777.24	36.58062875348099	30.446715596544124	50	5.307781163941042e-43	0	stratified	100	1.6266795705700974	1678.0	1858.0	1.0	0.009900990099009901	0.019801980198019802	10	1272101.0	1108459.8	0.1286385279156293	73801.8	246.5
4	5	2021Q2	2021Q3	WSB	union	604769	166668	498	603	836.36	29.048414758812573	-8.033484854081559	6	0.38051088297483604	0	stratified	100	0.720981395571285	761.0	920.0	0.009900990099009901	1.0	0.019801980198019802	10	419209.0	383841.8	0.08436650930681358	15183.2	221.2
4	6	2021Q3	2021Q4	WSB	union	683111	85921	391	83	232.98	16.673320005325873	-8.995209109648988	0	1.0	0	stratified	100	0.3562537556871835	195.0	277.0	0.009900990099009901	1.0	0.019801980198019802	10	234463.0	221132.8	0.056854173153120156	6086.8	228.4
4	7	2021Q4	2022Q1	WSB	union	686486	84190	373	55	168.67	14.13227157961522	-8.043292924257184	1	0.9764534336891513	0	stratified	100	0.32608051224284107	141.0	204.0	0.009900990099009901	1.0	0.019801980198019802	10	234554.0	219673.1	0.06344338617120149	6492.2	231.2
4	8	2022Q1	2022Q2	WSB	union	673735	81174	397	62	176.68	13.445356075612128	-8.529339004119976	0	1.0	0	stratified	100	0.35091691193117497	144.0	212.0	0.009900990099009901	1.0	0.019801980198019802	10	221120.0	206518.2	0.06603563675832122	6312.9	231.5
4	9	2022Q2	2022Q3	WSB	union	250858	92289	225	107	181.34	13.508678691863244	-5.503128891856583	3	0.39099469512459106	0	stratified	100	0.5900518363295467	147.0	214.0	0.009900990099009901	1.0	0.019801980198019802	10	229801.0	210336.7	0.084700675802107	8429.3	209.1
