B	window	eval_start	eval_end	stratum	lens	build_docs	eval_docs	n_eligible	obs_total	null_mean	null_sd	z_seg	formed	binom_p	uninformative
4	0	2020Q1	2020Q2	WSB	union	44304	78561	46	290	347.12	16.60558942043311	-3.4398056313324283	0	1.0	0
4	1	2020Q2	2020Q3	WSB	union	70724	85224	78	708	689.5	22.842285349763056	0.8099014488579577	4	0.007932771541211565	0
4	2	2020Q3	2020Q4	WSB	union	102194	95444	65	198	177.78	12.849575868486866	1.573592794575332	2	0.1380217604580805	0
4	3	2020Q4	2021Q1	WSB	union	132986	519973	125	1081	478.82	20.4094977890197	29.504890626165853	26	1.9204315598501688e-26	0
4	4	2021Q1	2021Q2	WSB	union	174005	587966	316	2388	1614.25	32.859511560581666	23.54721550177246	55	1.2338817235734844e-49	0
4	5	2021Q2	2021Q3	WSB	union	605197	166834	501	606	895.03	31.647260544950804	-9.132860001878221	8	0.13336745410995088	0
4	6	2021Q3	2021Q4	WSB	union	683410	86108	393	83	239.11	15.601855658863146	-10.005861059951327	1	0.9807411000577371	0
4	7	2021Q4	2022Q1	WSB	union	686807	84394	375	56	175.32	15.837853389901044	-7.533849257380044	1	0.9769220103584685	0
4	8	2022Q1	2022Q2	WSB	union	674074	81412	398	62	169.73	18.20046977415693	-5.9190779873697075	0	1.0	0
4	9	2022Q2	2022Q3	WSB	union	251228	92541	227	107	207.36	14.121274729995164	-7.10700711649099	3	0.3963505254829389	0
4	10	2022Q3	2022Q4	WSB	union	167520	88431	144	197	324.77	18.51262001986753	-6.901778347034547	0	1.0	0
4	11	2022Q4	2023Q1	WSB	union	176935	60109	116	38	138.46	13.020307216037569	-7.715639756661034	0	1.0	0
4	12	2023Q1	2023Q2	WSB	union	169843	49316	101	85	145.66	13.143987218496525	-4.61503796311045	1	0.6376279821395031	0
4	13	2023Q2	2023Q3	WSB	union	152650	45351	95	81	165.58	12.764936349234178	-6.62596331748057	0	1.0	0
4	14	2023Q3	2023Q4	WSB	union	137747	44685	104	60	121.2	11.533429672044651	-5.306314057503629	0	1.0	0
4	15	2023Q4	2024Q1	WSB	union	105460	66585	80	325	482.84	20.360117877851298	-7.752410911712148	0	1.0	0
4	16	2024Q1	2024Q2	WSB	union	94001	83613	74	333	550.18	22.615649448998806	-9.60308482362042	2	0.16935528013144516	0
4	17	2024Q2	2024Q3	WSB	union	111936	70889	90	246	332.74	17.687634098431595	-4.903991088762485	0	1.0	0
4	18	2024Q3	2024Q4	WSB	union	128298	68329	129	342	487.69	21.277074516953686	-6.847275920564805	1	0.726510848977779	0
4	0	2020Q1	2020Q2	DD	union	29070	38529	61	190	311.91	16.05745621199074	-7.592111626557947	0	1.0	0
4	1	2020Q2	2020Q3	DD	union	37072	44556	105	418	667.31	22.52496170917944	-11.068165318940382	0	1.0	0
4	2	2020Q3	2020Q4	DD	union	52869	45077	151	240	407.78	19.375541282761624	-8.659370984865	0	1.0	0
4	3	2020Q4	2021Q1	DD	union	67228	88452	146	556	765.77	31.135784878496317	-6.7372639173414886	0	1.0	0
4	4	2021Q1	2021Q2	DD	union	83606	94475	213	525	772.84	27.830458134928357	-8.905351065311812	1	0.8824300186575936	0
4	5	2021Q2	2021Q3	DD	union	133008	51510	340	241	537.88	22.921727683575686	-12.951903281388606	0	1.0	0
4	6	2021Q3	2021Q4	DD	union	139552	44050	270	135	353.85	20.24765418511488	-10.808659511820792	0	1.0	0
4	7	2021Q4	2022Q1	DD	union	139962	43769	278	173	390.32	20.811477602515396	-10.44231477219731	0	1.0	0
4	8	2022Q1	2022Q2	DD	union	138525	39528	286	151	333.7	20.701932276963905	-8.825263147213537	0	1.0	0
4	9	2022Q2	2022Q3	DD	union	95279	34232	248	182	374.95	19.630779403783233	-9.828952586712617	0	1.0	0
4	10	2022Q3	2022Q4	DD	union	83578	30787	180	128	254.37	15.947197245911271	-7.9242764763820945	0	1.0	0
4	11	2022Q4	2023Q1	DD	union	78001	27771	159	121	247.06	15.688097398983727	-8.035391213734188	1	0.7976999728712411	0
4	12	2023Q1	2023Q2	DD	union	70315	26024	150	126	246.29	14.133856515473758	-8.51076985734972	0	1.0	0
4	13	2023Q2	2023Q3	DD	union	62003	25917	139	114	265.24	16.60489084577192	-9.10815984306877	0	1.0	0
4	14	2023Q3	2023Q4	DD	union	56811	26473	123	87	237.72	14.082670201350311	-10.702515776130884	0	1.0	0
4	15	2023Q4	2024Q1	DD	union	53688	30704	143	131	315.9	18.330030005430977	-10.087272085491199	0	1.0	0
4	16	2024Q1	2024Q2	DD	union	52497	34919	119	171	390.47	18.387199351722927	-11.936021130887186	0	1.0	0
4	17	2024Q2	2024Q3	DD	union	56621	34436	127	222	476.96	20.70744793546515	-12.312478138039216	0	1.0	0
4	18	2024Q3	2024Q4	DD	union	61392	36618	158	277	622.24	23.189273382320543	-14.887917974316967	0	1.0	0
6	0	2020Q3	2020Q4	WSB	union	122865	95444	96	182	172.11	12.125093814070059	0.815663792103905	3	0.07216717951585767	0
6	1	2020Q4	2021Q1	WSB	union	155948	519973	145	1181	538.38	24.855092033625624	25.854661858850527	23	9.749367258385577e-21	0
6	2	2021Q1	2021Q2	WSB	union	197638	587966	348	2295	1026.15	34.343376362844694	36.94598884496224	53	9.917736913585727e-45	0
6	3	2021Q2	2021Q3	WSB	union	652959	166834	678	687	1016.49	37.440751862108755	-8.800304043398619	11	0.08260258525474265	0
6	4	2021Q3	2021Q4	WSB	union	761971	86108	702	183	414.58	22.122920241233977	-10.467876639918803	1	0.9991372070109741	0
6	5	2021Q4	2022Q1	WSB	union	772031	84394	659	128	294.36	17.348498494106057	-9.589302501108024	2	0.9898228248034711	0
6	6	2022Q1	2022Q2	WSB	union	769518	81412	547	76	190.48	14.662523657269919	-7.807660036970439	0	1.0	0
6	7	2022Q2	2022Q3	WSB	union	771201	92541	479	45	132.12	11.568301517508957	-7.530924039984727	0	1.0	0
6	8	2022Q3	2022Q4	WSB	union	755486	88431	505	66	146.41	16.07301776269783	-5.002794197528673	0	1.0	0
6	9	2022Q4	2023Q1	WSB	union	343769	60109	376	60	177.44	12.642246635784321	-9.289488125281622	0	1.0	0
6	10	2023Q1	2023Q2	WSB	union	255951	49316	275	61	160.37	13.886435827814134	-7.155903878586666	0	1.0	0
6	11	2023Q2	2023Q3	WSB	union	237044	45351	175	69	167.54	13.460624056855611	-7.320611554396152	0	1.0	0
6	12	2023Q3	2023Q4	WSB	union	219159	44685	138	46	113.25	10.916386764859515	-6.160463296929133	0	1.0	0
6	13	2023Q4	2024Q1	WSB	union	198001	66585	138	58	142.14	10.916977603714317	-7.707261391776857	0	1.0	0
6	14	2024Q1	2024Q2	WSB	union	182432	83613	171	267	416.5	20.276340892774513	-7.373125199984895	0	1.0	0
6	15	2024Q2	2024Q3	WSB	union	172045	70889	152	234	360.34	16.2500584614333	-7.77474126015276	0	1.0	0
6	16	2024Q3	2024Q4	WSB	union	177614	68329	197	297	418.84	18.445986013222498	-6.605231073723157	2	0.587152316425339	0
6	0	2020Q3	2020Q4	DD	union	67599	45077	198	318	524.58	21.624606354798694	-9.553006265668188	2	0.5898999851302369	0
6	1	2020Q4	2021Q1	DD	union	81628	88452	189	610	824.65	26.989766579205533	-7.9530143163734754	2	0.5646795473349898	0
6	2	2021Q1	2021Q2	DD	union	97946	94475	242	484	727.62	28.34176423584107	-8.595795165493527	2	0.6974227461229441	0
6	3	2021Q2	2021Q3	DD	union	155680	51510	431	318	679.82	23.82451678418683	-15.186876748751216	2	0.9296264359117516	0
6	4	2021Q3	2021Q4	DD	union	178081	44050	459	185	459.97	17.454200067605505	-15.753801316299592	1	0.990079025798778	0
6	5	2021Q4	2022Q1	DD	union	184518	43769	484	273	548.7	21.699078321440293	-12.705608778211934	1	0.992283254360606	0
6	6	2022Q1	2022Q2	DD	union	183602	39528	417	166	390.1	20.39926469263047	-10.985690091121734	0	1.0	0
6	7	2022Q2	2022Q3	DD	union	183731	34232	413	122	299.93	17.386923247084287	-10.23355296802372	0	1.0	0
6	8	2022Q3	2022Q4	DD	union	178053	30787	400	95	215.95	15.636735592827552	-7.734990419322483	0	1.0	0
6	9	2022Q4	2023Q1	DD	union	129511	27771	309	99	223.59	14.306009226894831	-8.708927697724034	2	0.8153709227578431	0
6	10	2023Q1	2023Q2	DD	union	114365	26024	248	93	230.74	15.871118423097977	-8.678657441024482	0	1.0	0
6	11	2023Q2	2023Q3	DD	union	105772	25917	254	132	294.81	18.34267973879498	-8.876020424412413	0	1.0	0
6	12	2023Q3	2023Q4	DD	union	96339	26473	206	95	271.92	15.545211481353352	-11.380996663327318	1	0.8738607956981	0
6	13	2023Q4	2024Q1	DD	union	87920	30704	195	125	293.57	14.070717821063715	-11.980199030617507	0	1.0	0
6	14	2024Q1	2024Q2	DD	union	83284	34919	212	196	419.41	21.798667390462196	-10.248791634746947	0	1.0	0
6	15	2024Q2	2024Q3	DD	union	84392	34436	232	259	506.61	20.278015188868952	-12.210761146678625	0	1.0	0
6	16	2024Q3	2024Q4	DD	union	87416	36618	206	272	617.32	23.422587389099437	-14.743033904132531	0	1.0	0
8	0	2021Q1	2021Q2	WSB	union	218309	587966	363	2405	1546.67	35.76871677877192	23.996667403774552	54	5.5627102580699036e-45	0
8	1	2021Q2	2021Q3	WSB	union	675921	166834	755	758	1069.9	35.43882052213363	-8.801082976370507	9	0.3445968267796484	0
